,48k_STRUCTURE_SEER_samples 1,93k_OPENBABEL_samples 1,chembl_molecules_100k,chembl_molecules_100k_filtered,pubchem_molecules_100k,pubchem_molecules_100k_filtered,zinc_samples_filtered_100k,zinc_samples_unfiltered_100k,250k_rndm_zinc_drugs_clean_3
48k_STRUCTURE_SEER_samples 1,0.0,4.773271728460364e-05,0.004355048975395936,0.0005678944464145855,0.005515750310803914,0.0022476543091918704,0.0008937249243169066,0.0008871770131369456,0.002312654966956899
93k_OPENBABEL_samples 1,4.773271728460364e-05,0.0,0.0035142836176713464,0.00033921034069580273,0.004810273329409362,0.0023238215178825886,0.0010459061701442018,0.0010374417501222933,0.002752762066115691
chembl_molecules_100k,0.004355048975395936,0.0035142836176713464,0.0,0.0021800827515197282,0.0017676647433151498,0.006122772748555399,0.006527791579090853,0.006498357510157348,0.010104850989157718
chembl_molecules_100k_filtered,0.0005678944464145855,0.00033921034069580273,0.0021800827515197282,0.0,0.0031801856018933063,0.0018612870524477758,0.0013347430690670383,0.001319623170111928,0.003115676799438986
pubchem_molecules_100k,0.005515750310803914,0.004810273329409362,0.0017676647433151498,0.0031801856018933063,0.0,0.003919767490295499,0.008056513816759309,0.00801098178953108,0.008948107100709387
pubchem_molecules_100k_filtered,0.0022476543091918704,0.0023238215178825886,0.006122772748555399,0.0018612870524477758,0.003919767490295499,0.0,0.002526683586843467,0.0025014284119885227,0.0012291930238270971
zinc_samples_filtered_100k,0.0008937249243169066,0.0010459061701442018,0.006527791579090853,0.0013347430690670383,0.008056513816759309,0.002526683586843467,0.0,9.722546513620885e-08,0.0013357385588670518
zinc_samples_unfiltered_100k,0.0008871770131369456,0.0010374417501222933,0.006498357510157348,0.001319623170111928,0.00801098178953108,0.0025014284119885227,9.722546513620885e-08,0.0,0.0013275519656222147
250k_rndm_zinc_drugs_clean_3,0.002312654966956899,0.002752762066115691,0.010104850989157718,0.003115676799438986,0.008948107100709387,0.0012291930238270971,0.0013357385588670518,0.0013275519656222147,0.0
