,93k_OPENBABEL_samples 1,100_time_steps_generated_samples,50_time_steps_generated_samples,48k_STRUCTURE_SEER_samples 1,20_time_steps_generated_samples,300_time_steps_generated_samples,chembl_molecules_100k_filtered,zinc_samples_unfiltered_100k,zinc_samples_filtered_100k,chembl_molecules_100k,pubchem_molecules_100k_filtered,pubchem_molecules_100k,250k_rndm_zinc_drugs_clean_3
93k_OPENBABEL_samples 1,0.0,0.00011076820315035286,0.00014419098081385511,7.439426719327208e-05,0.00029307575771058574,0.00010057148760676162,0.0003542882021411731,0.0013808231108185605,0.0013893413039380007,0.0031856885273613923,0.0030640853038463754,0.0054506970565679075,0.0035691518496392717
100_time_steps_generated_samples,0.00011076820315035286,0.0,4.915373208585468e-06,9.937167098010003e-06,7.53231296210798e-05,1.2155245831011412e-05,0.0006011693692040665,0.0010933727594691443,0.001100108084778674,0.004339773872003761,0.002703276488331228,0.006280318196707234,0.002747597402292605
50_time_steps_generated_samples,0.00014419098081385511,4.915373208585468e-06,0.0,2.20130172079847e-05,5.229341754585755e-05,2.0225773824495276e-05,0.0006715762707895797,0.0011212396113858471,0.001127781966021751,0.004509932370321095,0.002704191865969334,0.006410459261407373,0.002708173332586841
48k_STRUCTURE_SEER_samples 1,7.439426719327208e-05,9.937167098010003e-06,2.20130172079847e-05,0.0,0.00012170189611040129,9.525445493114476e-06,0.0005342338099273083,0.001035854793073406,0.0010421930220363188,0.0041692096781604845,0.0027919756053565344,0.006257377818816344,0.0028409416088230445
20_time_steps_generated_samples,0.00029307575771058574,7.53231296210798e-05,5.229341754585755e-05,0.00012170189611040129,0.0,0.00013472811373846448,0.0007727879218542188,0.0012436600962672144,0.0012527396356145264,0.004797120169884962,0.002247416408486182,0.006173774656859515,0.0023716120410268706
300_time_steps_generated_samples,0.00010057148760676162,1.2155245831011412e-05,2.0225773824495276e-05,9.525445493114476e-06,0.00013472811373846448,0.0,0.0006358366765353863,0.0010617570587289522,0.001066854730291816,0.004364883084542574,0.0029876244688296257,0.006579334824173845,0.002919024719819171
chembl_molecules_100k_filtered,0.0003542882021411731,0.0006011693692040665,0.0006715762707895797,0.0005342338099273083,0.0007727879218542188,0.0006358366765353863,0.0,0.0014123590292551464,0.001428248005242315,0.0023054550211245753,0.0020474579511531536,0.0037920435674474173,0.003267950086986835
zinc_samples_unfiltered_100k,0.0013808231108185605,0.0010933727594691443,0.0011212396113858471,0.001035854793073406,0.0012436600962672144,0.0010617570587289522,0.0014123590292551464,0.0,1.06899638391163e-07,0.006983649306787215,0.0026067721165760165,0.00907239112055404,0.001277718108852658
zinc_samples_filtered_100k,0.0013893413039380007,0.001100108084778674,0.001127781966021751,0.0010421930220363188,0.0012527396356145264,0.001066854730291816,0.001428248005242315,1.06899638391163e-07,0.0,0.007014925464981344,0.0026355553997515677,0.009124206322022682,0.001287480445151204
chembl_molecules_100k,0.0031856885273613923,0.004339773872003761,0.004509932370321095,0.0041692096781604845,0.004797120169884962,0.004364883084542574,0.0023054550211245753,0.006983649306787215,0.007014925464981344,0.0,0.006529096399672618,0.0019663966311190364,0.01060730647156806
pubchem_molecules_100k_filtered,0.0030640853038463754,0.002703276488331228,0.002704191865969334,0.0027919756053565344,0.002247416408486182,0.0029876244688296257,0.0020474579511531536,0.0026067721165760165,0.0026355553997515677,0.006529096399672618,0.0,0.004530164371888528,0.0013099080955406828
pubchem_molecules_100k,0.0054506970565679075,0.006280318196707234,0.006410459261407373,0.006257377818816344,0.006173774656859515,0.006579334824173845,0.0037920435674474173,0.00907239112055404,0.009124206322022682,0.0019663966311190364,0.004530164371888528,0.0,0.010007818908204088
250k_rndm_zinc_drugs_clean_3,0.0035691518496392717,0.002747597402292605,0.002708173332586841,0.0028409416088230445,0.0023716120410268706,0.002919024719819171,0.003267950086986835,0.001277718108852658,0.001287480445151204,0.01060730647156806,0.0013099080955406828,0.010007818908204088,0.0
